year,age,males,females,total
2015,0,375168,363284,738452
2015,1,383123,364843,747966
2015,2,391355,371965,763320
2015,3,394520,379606,774126
2015,4,406584,390146,796730
2015,5,406632,386870,793502
2015,6,409140,390527,799667
2015,7,406463,388045,794508
2015,8,414455,395685,810140
2015,9,404902,386633,791535
2015,10,403149,386448,789597
2015,11,401147,384050,785197
2015,12,403445,384728,788173
2015,13,411877,392454,804331
2015,14,420164,399712,819876
2015,15,402838,381531,784369
2015,16,399999,381335,781334
2015,17,392434,371850,764284
2015,18,392700,375854,768554
2015,19,386661,369456,756117
2015,20,370420,358113,728533
2015,21,366000,353569,719569
2015,22,379562,368634,748196
2015,23,377459,372915,750374
2015,24,380590,379468,760058
2015,25,377296,381913,759209
2015,26,378678,385623,764301
2015,27,377431,387680,765111
2015,28,381302,396510,777812
2015,29,382969,395359,778328
2015,30,379387,394828,774215
2015,31,375137,391038,766175
2015,32,400729,415007,815736
2015,33,405319,419663,824982
2015,34,411838,425616,837454
2015,35,390600,403082,793682
2015,36,384655,394750,779405
2015,37,391968,396111,788079
2015,38,380736,388019,768755
2015,39,393138,398248,791386
2015,40,415704,420190,835894
2015,41,439660,445975,885635
2015,42,449658,454355,904013
2015,43,447671,451595,899266
2015,44,440163,443356,883519
2015,45,431669,438429,870098
2015,46,425475,437055,862530
2015,47,424675,435288,859963
2015,48,433789,445068,878857
2015,49,434994,446328,881322
2015,50,437914,452879,890793
2015,51,432848,447856,880704
2015,52,416451,432147,848598
2015,53,416994,433850,850844
2015,54,414228,433822,848050
2015,55,409560,433361,842921
2015,56,400668,423664,824332
2015,57,397491,423483,820974
2015,58,393169,421418,814587
2015,59,387177,419195,806372
2015,60,387088,417867,804955
2015,61,377896,409981,787877
2015,62,382912,415810,798722
2015,63,373488,406119,779607
2015,64,386639,421895,808534
2015,65,378549,415406,793955
2015,66,377067,411124,788191
2015,67,367519,404792,772311
2015,68,345174,384174,729348
2015,69,257275,289819,547094
2015,70,249578,283792,533370
2015,71,241173,276744,517917
2015,72,221541,255229,476770
2015,73,194381,229141,423522
2015,74,198298,240148,438446
2015,75,204311,251415,455726
2015,76,196714,248812,445526
2015,77,187168,244820,431988
2015,78,182243,245451,427694
2015,79,171106,240048,411154
2015,80,167122,241374,408496
2015,81,152758,229616,382374
2015,82,148597,231904,380501
2015,83,131676.37,215370.29,347046.66
2015,84,120900.44,207406.45,328306.89
2015,85,105756.5,189500.35,295256.85
2015,86,93588.41,177895.55,271483.96
2015,87,80856.06,162052.55,242908.61
2015,88,69603.84,149305.25,218909.09
2015,89,58124.9,134556.67,192681.57
2015,90,47191.88,116517.67,163709.55
2015,91,38652.78,101913.88,140566.66
2015,92,30677.74,87015.48,117693.22
2015,93,24500.7,74105.63,98606.33
2015,94,18220.76,59429.47,77650.23
2015,95,8220.4,28646.53,36866.93
2015,96,4853.15,19426.92,24280.07
2015,97,2920.71,13080.17,16000.88
2015,98,1754.41,8794.32,10548.73
2015,99,1402.5,7546.08,8948.58
2015,100,1370.57,8032.7,9403.27
2015,101,775.89,5096.5,5872.39
2015,102,413,2843.75,3256.75
2015,103,200.31,1612.14,1812.45
2015,104,101.94,942.36,1044.3
2015,105,49.86,497.79,547.65
2015,106,27.07,289.71,316.78
2015,107,11.62,147.78,159.4
2015,108,5.74,81.23,86.97
2015,109,2.54,42.68,45.22
2015,110,0.81,39.1,39.91
